,Description,URL,Ability Cost
92,"[Dull], return Esha'ntarl to its owner's hand: Play 1 Forward of cost 7 or less other than Card Name Esha'ntarl from your hand onto the field. You can only use this ability during your turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/eshantarl,"[Dull], return Esha'ntarl to its owner's hand"
110,"During each Attack Phase, Galuf cannot be broken.
Damage 3 – When Galuf is put from the field into the Break Zone, you may search for 1 Earth Forward of cost 2 or less and play it onto the field.
Unfaltering Volition  [S]: Activate Galuf. Until the end of the turn, Galuf gains +10000 power and ""Galuf can attack once more this turn."" You can only use this ability if Galuf has received damage this turn. ",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/galuf,Unfaltering Volition  [S]
114,"Put Gilgamesh into the Break Zone: Choose 1 Forward. Break it.
[Dull]: Search for 1 Card Name Enkidu and play it onto the field dull.
[P][P][P][2]: Choose 1 damaged Forward. Break it.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/gilgamesh,Put Gilgamesh into the Break Zone
126,"When Iris enters the field, choose up to 2 Wind Backups you control and up to 2 Earth Backups you control. Activate them.
[G][Y]: Select 1 of the 2 following actions.
""Iris gains +2000 power until the end of the turn.""
""Iris gains 'Iris cannot be blocked by a Forward of power 9000 or more' until the end of the turn.""",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/iris,[G][Y]
132,"When Krile enters the field, choose 1 Summon from either player's Break Zone. You can cast it this turn. If you cast it, remove that Summon from the game after use instead of putting it in the Break Zone.
1[Rest]: Choose 1 Summon from either player's Break Zone. You can cast it this turn. If you cast it, remove that Summon from the game after use instead of putting it in the Break Zone.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/krile,1[Rest]
142,"When Layle or a Forward enters your field, place 1 Bearer Counter on Layle.
Remove 3 Bearer Counters from Layle: Choose 1 Forward. Remove it from the game. You can only use this ability while Layle is attacking.
",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/layle,Remove 3 Bearer Counters from Layle
144,"When Lenna enters the field, place 1 Arise Counter on Lenna for each Backup you control.
When a Backup enters your field, place 1 Arise Counter on Lenna.
[Dull], remove X Arise Counters from Lenna: Choose 1 Forward in your Break Zone. If its cost is X, play it onto the field.
",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/lenna,"[Dull], remove X Arise Counters from Lenna"
151,"When Locke enters the field, if you control 2 
or more Category VI Characters other than Locke, your 
opponent discards 1 card from his/her hand. 
When Locke deals damage to your opponent, 
your opponent discards 1 card from his/her hand.
Mirage Dive [S]: Locke cannot be blocked this turn.


",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/locke-full-art-reprint,Mirage Dive [S]
152,"Dull 1 active Category XV Forward: Lunafreya gains +2000 power until the end of the turn.
Dull 4 active Category XV Forwards: Choose 1 Forward. Put it into the Break Zone.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/lunafreya,Dull 1 active Category XV Forward
154,"When Machinist enters the field, choose up to 2 Forwards. Until the end of the turn, they gain ""[Dull]: Choose 1 Forward. Deal it 4000 damage.""",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/machinist,"When Machinist enters the field, choose up to 2 Forwards. Until the end of the turn, they gain ""[Dull]"
162,"[U][U][2][Dull], put Minwu into the Break Zone: Cast 1 Summon of cost 7 or less from your hand without paying its cost.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/minwu,"[U][U][2][Dull], put Minwu into the Break Zone"
166,"When Monk enters the field, choose 1 Job Monk or Card Name Monk in your Break Zone. Add it to your hand.
[Y][Dull], put Monk into the Break Zone: Choose 1 Job Monk Forward or Card Name Monk Forward you control and 1 Forward opponent controls. Each Forward deals damage equal to its power to the other. You can only use this ability during your turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/monk,"[Y][Dull], put Monk into the Break Zone"
176,"[G][Dull]: Choose 1 Wind Forward. Activate it.
[G][G][Dull], put Ninja into the Break Zone: Activate all the Wind Characters you control.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/ninja-ffex,[G][Dull]
216,"When Regis enters the field, choose up to 2 Forwards other than Card Name Regis, Light or Dark put in your Break Zone from the field during this turn. Play them onto the field.
Royal Sigil [S][Y][P]: All the Forwards you control gain ""This Forward cannot be broken"" until the end of the turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/regis,Royal Sigil [S][Y][P]
226,"[R][R][R][Dull], put Samurai into the Break Zone: Choose 1 Forward. Deal it 8000 damage. You can only use this ability if you control 3 or more Job Samurai or Card Name Samurai.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/samurai,"[R][R][R][Dull], put Samurai into the Break Zone"
228,"When Sarah (FFL) enters the field, you may search for up to 2 Category FFL Forwards or Job Warrior of Light Forwards and add them to your hand.
[Dull], put Sarah (FFL) into the Break Zone: Choose 1 Forward. Activate it.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/sarah-ffl,"[Dull], put Sarah (FFL) into the Break Zone"
240,"When Shadow Lord enters the field, your opponent may play 1 Backup of cost 2 or less from their hand onto the field.
[Y]: Until the end of the turn, Shadow Lord gains Brave and ""EX Bursts of cards put into the Damage Zone due to Shadow Lord cannot be used.""",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/shadow-lord,[Y]
274,"The Ice Forwards other than Ulmia you control gain +1000 power.
Damage 3 – [Dull]: Choose 1 Ice Forward. It gains +2000 power until the end of the turn.
Damage 5 – [Dull]: Choose 1 Ice Forward. Until the end of the turn, it gains +2000 power, Haste, First Strike and Brave.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/ulmia,Damage 3 – [Dull]
278,"When Ultros is put from the field into the Break Zone, you may pay [U]. When you do so, search for 1 Card Name Ultros and add it to your hand.
[Dull], put Ultros into the Break Zone: Choose 1 Forward. It loses 5000 power until the end of the turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/ultros,"[Dull], put Ultros into the Break Zone"
294,"[Dull], put White Mage into the Break Zone: Choose 1 Earth Forward of cost 4 or less in your Break Zone. Play it onto the field.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/white-mage-xiv,"[Dull], put White Mage into the Break Zone"
302,"[U][1][Dull], put Aemo into the Break Zone: Choose 1 auto-ability or action ability that has only one target. You may choose another target instead. (The new target must be valid.)",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/aemo,"[U][1][Dull], put Aemo into the Break Zone"
304,"When Aerith enters the field, choose up to 2 Category VII Characters in your Break Zone other than Card Name Aerith. Add them to your hand.
[(1)][Dull], put Aerith into the Break Zone: Select 1 of the 2 following actions. ""Choose 1 Category VII Forward you control. Dull it. It gains 'This Forward cannot be broken' until the end of the turn."" ""Choose 1 Dark Forward. Break it.""",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/aerith,"[(1)][Dull], put Aerith into the Break Zone"
306,"[Dull], put Alchemist into the Break Zone: Discard 1 card from your hand. If you do so, search for 1 card of the same card type as the discarded card and add it to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/alchemist,"[Dull], put Alchemist into the Break Zone"
310,"During your turn, Antlion also becomes a Forward with 7000 power.
[Y], discard Antlion, remove 1 Backup from the game: Choose 1 Forward you control. Dull it. Until the end of the turn, it gains +2000 power and ""This Forward cannot be broken."" You can only use this ability if Antlion is in your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/antlion,"[Y], discard Antlion, remove 1 Backup from the game"
318,"[Y][Y][Dull]: Deal 4000 damage to all the Forwards opponent controls.
[Y][Y][Y][Y][Dull]: Choose 1 dull Forward. Break it.
Ungarmax [S][Y][Y][Y][Y][Y][Y][Dull]: Break all the Forwards and Monsters opponent controls.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/barret,[Y][Y][Dull]
332,"(X)[Dull], put Black Mage into the Break Zone: Cast 1 Summon of cost X or less from your hand without paying the cost. Then, return that Summon to your hand after use instead of putting it in the Break Zone.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/black-mage,"(X)[Dull], put Black Mage into the Break Zone"
340,"When a Fire Character other than Bomb enters your field, place 1 Monster Counter on Bomb.
Put Bomb into the Break Zone: Choose 1 Forward. Deal it 4000 damage.
Put Bomb into the Break Zone: Choose 1 Forward. Deal it 10000 damage. You can only use this ability if 3 or more Monster Counters are placed on Bomb.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/bomb,Put Bomb into the Break Zone
344,"When Braska's Final Aeon attacks or is chosen by your opponent's Summons or abilities choose up to 1 Forward the opponent controls. Deal it 10000 damage. This damage cannot be reduced. 
Discard Braska's Final Aeon: choose 1 Forward. Deal it 10000 damage. You can only use this ability if you control 2 or more Job Summoner Forwards and if Braska's Final Aeon is in your hand. ",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/braskas-final-aeon,Discard Braska's Final Aeon
350,Dull 1 active Card Name Cecil Forward and 1 active Card Name Rosa Forward: Play Ceodore onto the field. You can only use this ability during your turn and if Ceodore is in the Break Zone.,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/ceodore,Dull 1 active Card Name Cecil Forward and 1 active Card Name Rosa Forward
354,"When Chaos enters the field, choose 1 Forward of cost 5 or more in your Break Zone. You may pay X. When you do so, if its cost is [X], play it onto your field.
[3], remove Chaos from the game: Choose 1 Character opponent controls. Remove it from the game.
",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/chaos,"[3], remove Chaos from the game"
358,"When Chelinka enters the field, choose 1 Forward. Until the end of the turn, it gains Brave and ""This Forward can attack twice in the same turn.""
[G][G][Dull]: Return Chelinka to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/chelinka,[G][G][Dull]
362,"When Chronos enters the field, each player who doesn't control 2 or more Forwards discards 1 card from their hand.
[I][I][Dull], put Chronos into the Break Zone: Your opponent selects 1 active Character they control and dulls it.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/chronos,"[I][I][Dull], put Chronos into the Break Zone"
370,"When Cloud enters the field, you may search for 1 Category VII Character and add it to your hand.
[3], remove the top 7 cards of your deck from the game: Choose 1 Forward. Break it. You can only use this ability during your Main Phase, and only once per turn.
Damage 5 — Cloud gains +2000 power.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/cloud-11-127l,"[3], remove the top 7 cards of your deck from the game"
374,"[Dull], put 1 Category VII Forward into the Break Zone: Search for 1 Forward that costs 1 CP more than the Forward put into the Break Zone and play it onto the field. You can only use this ability during your Main Phase.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/cloud-11-136s,"[Dull], put 1 Category VII Forward into the Break Zone"
378,"During your turn, Coeurl also becomes a Forward with 7000 power.
[I], discard Coeurl, remove 1 Backup from the game: Choose 1 dull Forward. Deal it 8000 damage. You can only use this ability if Coeurl is in your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/coeurl,"[I], discard Coeurl, remove 1 Backup from the game"
380,"When Crowe is put from the field into the Break Zone, choose 1 Forward in your Break Zone. Add it to your hand.
[Dull], put Crowe into the Break Zone: Choose 1 Forward. Dull it.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/crowe,"[Dull], put Crowe into the Break Zone"
390,"When an Ice Character other than Dandreen enters your field, place 1 Monster Counter on Dandreen.
Put Dandreen into the Break Zone: Choose 1 Forward. Dull it.
Put Dandreen into the Break Zone: Choose up to 2 Forwards. Dull them and Freeze them. You can only use this ability if 3 or more Monster Counters are placed on Dandreen.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/dandreen,Put Dandreen into the Break Zone
392,"[Dull], put the top 2 cards of your deck into the Break Zone: Choose 1 Forward. Dull it.
[Dull], put the top 7 cards of your deck into the Break Zone: Choose 1 dull Forward. Break it.
[Dull], put the top 15 cards of your deck into the Break Zone: Choose 1 Forward. You gain control of it for as long as Don Corneo is on the field.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/don-corneo,"[Dull], put the top 2 cards of your deck into the Break Zone"
394,"When Doned enters the field, you may search for 1 Card Name Marche or Monster and add it to your hand.
[G][Dull], put Doned into the Break Zone: Choose 1 Category FFTA card in your Break Zone. Add it to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/doned,"[G][Dull], put Doned into the Break Zone"
398,"The cost required to play your Job Ninja or Card Name Ninja onto the field is reduced by 1 and can be paid with CP of any Element.
When a Job Ninja or a Card Name Ninja other than Edge enters your field, place 1 Shuriken Counter on Edge.
Remove 1 Shuriken Counter from Edge: Choose 1 Forward. Deal it 3000 damage.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/edge,Remove 1 Shuriken Counter from Edge
412,[G][G][G][Dull]: Search for 1 Character and add it to your hand.,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/fiona,[G][G][G][Dull]
416,"During your turn, Floateye also becomes a Forward with 7000 power.
[G], discard Floateye, remove 1 Backup from the game: Choose 1 Forward of cost 5 or more. Break it. You can only use this ability if Floateye is in your hand.
",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/floateye,"[G], discard Floateye, remove 1 Backup from the game"
418,"[P][Dull], remove Gadgeteer and 1 Backup from the game: Choose 1 Backup in your Break Zone. If its cost is equal to the total cost of the 2 cards removed from the game, play it onto the field. You can only use this ability during your turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/gadgeteer,"[P][Dull], remove Gadgeteer and 1 Backup from the game"
420,"When you cast a Summon, place 1 Summon Counter on Garnet.
Remove 1 Summon Counter from Garnet: Choose 1 Forward you control. It gains +2000 power until the end of the turn.
[Dull]: Randomly reveal 1 card from your hand. If it is a Summon, you may cast it without paying the cost.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/garnet,Remove 1 Summon Counter from Garnet
422,"When Gekkou enters the field, choose 1 Forward the opponent controls. Deal it 2000 damage for each Job Ninja or Card Name Ninja you control.
[R]: Gekkou gains Brave until the end of turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/gekkou,[R]
436,"The Card Name Shadow you control gains +1000 power and Haste.
(1)[Dull]: Choose 1 Category VI Forward you control. It gains Haste until the end of the turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/interceptor,(1)[Dull]
438,"When Izayoi enters the field, choose 1 Forward opponent controls. If its cost is equal to or less than the number of Job Ninja or Card Name Ninja you control, return it to its owner's hand.
[U]: During this turn, the next damage dealt to Izayoi is reduced by 2000 instead.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/izayoi,[U]
446,"When a Wind Character other than Killer Bee enters your field, place 1 Monster Counter on Killer Bee.
Put Killer Bee into the Break Zone: Choose up to 3 Characters. Activate them.
Put Killer Bee into the Break Zone: Activate all Characters you control. You can only use this ability if 3 or more Monster Counters are placed on Killer Bee.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/killer-bee,Put Killer Bee into the Break Zone
450,"When Kuja enters the field, choose 1 Forward of cost 3 or less the opponent controls. Break it. kuja deals you 1 point of damage.
Thundaga[S][P][P][P]: Choose up to 2 Fowards the opponent controls. Deal them 2000 damage. Then, deal 5000 damage to all the damaged Forwards the opponent controls.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/kuja,Thundaga[S][P][P][P]
460,"[Y][Dull], put Luca into the Break Zone: Choose 1 Backup of cost 3 or less in your Break Zone. Play it onto the field.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/luca,"[Y][Dull], put Luca into the Break Zone"
464,"[P][P][1][Dull], put Luche into the Break Zone: Choose 1 Forward. Break it. Your opponent draws 1 card.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/luche,"[P][P][1][Dull], put Luche into the Break Zone"
470,"When an Earth Character other than Mandragora enters your field, place 1 Monster Counter on Mandragora.
Put Mandragora into the Break Zone: Choose 1 Backup of cost 5 or more. Break it.
Put Mandragora into the Break Zone: Choose 1 Backup. Break it. You can only use this ability if 3 or more Monster Counters are placed on Mandragora.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/mandragora,Put Mandragora into the Break Zone
480,"[I][Dull], put Mewt into the Break Zone: Dull and Freeze all the Backups opponent controls. You can only use this ability during your turn and if your opponent controls 5 or more Backups.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/mewt,"[I][Dull], put Mewt into the Break Zone"
508,"When Porom enters the field, discard 1 card from your hand. If the discarded card is not a Category IV card, draw 2 cards then discard 1 card from your hand.
[Dull], put Porom into the Break Zone: Choose 1 Forward. During this turn, the next damage dealt to it is reduced by 2000 instead.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/porom,"[Dull], put Porom into the Break Zone"
516,"During your turn, Red Cap also becomes a Forward with 7000 power.
[R], discard Red Cap, remove 1 Backup from the game: Choose 1 Forward. Deal it 7000 damage. You can only use this ability if Red Cap is in your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/red-cap,"[R], discard Red Cap, remove 1 Backup from the game"
540,"When a Water Character other than Sahagin Chief enters your field, place 1 Monster Counter on Sahagin Chief.
Put Sahagin Chief into the Break Zone: Choose 1 Forward you control. Return it to its owner's hand.
Put Sahagin Chief into the Break Zone: Choose up to 2 Forwards. Return them to their owners' hands. You can only use this ability if 3 or more Monster Counters are placed on Sahagin Chief.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/sahagin-chief,Put Sahagin Chief into the Break Zone
544,"You can only play Sephiroth if either player has received 4 points of damage or more.
Octaslash [S]: Choose up to 1 Forward, up to 1 Backup, and up to 1 Monster. Remove them from the game. You can only use this ability if each player has received 5 points of damage or more.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/sephiroth-11-130l,Octaslash [S]
552,"When Setzer enters the field, each player randomly discards 1 card from their hand. Then, any player who discards a Category VI card, draws 1 card.
Slots S[Dull]: Reveal the top card of your deck. If the revealed card's CP cost is an odd number, break all the dull Forwards opponent controls. If the revealed card's CP cost is an even number, activate all Characters other than Setzer you control and draw 2 cards.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/setzer,Slots S[Dull]
554,"When Shadow enters the field, reveal the top 5 cards of your deck. Add 1 Backup among them to your hand and return the other cards to the bottom of your deck in any order. Then, you may play 1 Backup of cost 2 or less from your hand onto the field.
Shadow Fang [S][R]: Choose 1 Forward. Deal it 10000 damage. You can only use this ability if you have received a point of damage this turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/shadow,Shadow Fang [S][R]
558,"When a Lightning Character other than Skeleton enters your field, place 1 Monster Counter on Skeleton.
Put Skeleton into the Break Zone: Choose 1 Forward of cost 2 or less. Break it.
Put Skeleton into the Break Zone: Choose 1 Forward of cost 4 or less. Break it. You can only use this ability if 3 or more Monster Counters are placed on Skeleton.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/skeleton,Put Skeleton into the Break Zone
560,"During your turn, Sprite also becomes a Forward with 7000 power.
[U], discard Sprite, remove 1 Backup from the game: Choose 1 Forward or Monster. Return it to its owner's hand. You can only use this ability if Sprite is in your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/sprite,"[U], discard Sprite, remove 1 Backup from the game"
582,"When Tsukinowa enters the field, choose up to the same number of Characters you control as the Job Ninja or Card Name Ninja you control. Activate them. 
[G]: Tsukinowa gains ""Tsukinowa cannot be blocked by a Forward of cost 5 or more."" until the end of turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/tsukinowa,[G]
588,"When Ursula enters the field, choose 1 Job Monk or Card Name Monk of cost 2 or less in your Break Zone. Play it onto the field. 
Put 1 Job Monk or Card Name Monk other than Ursula into the Break Zone: Select 1 of the 2 following actions. ""Until the end of the turn, Ursula gains +4000 power and Brave."" ""Choose 1 Forward. Deal it damage equal to Ursula's power.""",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/ursula,Put 1 Job Monk or Card Name Monk other than Ursula into the Break Zone
594,"Death Gigas [S]: Until the end of the turn, Vincent gains +1000 power, First Strike and ""When Vincent attacks, choose 1 dull Forward of cost 4 or less. Break it.""
Damage — 5 Chaos [S]: Vincent gains +3000 power, First Strike and ""When Vincent attacks, choose 1 Character. Break it."" (This effect does not end at the end of the turn.)",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/vincent,Death Gigas [S]
596,"[Dull], put Warrior into the Break Zone: Choose 1 Forward. It gains +1000 power until the end of the turn.
[R](1)[Dull], put Warrior into the Break Zone: Choose 1 Forward. Deal it 5000 damage.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/warrior,"[Dull], put Warrior into the Break Zone"
610,"During your turn, Yellow Jelly also becomes a Forward with 7000 power.
[P], discard Yellow Jelly, remove 1 Backup from the game: Choose 1 active Forward. Deal it 8000 damage. You can only use this ability if Yellow Jelly is in your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/yellow-jelly,"[P], discard Yellow Jelly, remove 1 Backup from the game"
612,"[Dull], put Yenke into the Break Zone: Choose 1 Forward. It gains +1000 power for each Earth Forward you control until the end of the turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/yenke,"[Dull], put Yenke into the Break Zone"
616,"The cost required to cast your Summons can be paid with CP of any Element.
When Yuna enters the field, you may pay [G][G][G][2]. When you do so, search for up to 6 Summons, each of a different Element and cost and add them to your hand.
Doublecast [S]: When you cast a Summon this turn, you may cast 1 Summon from your hand with a cost inferior to that of the Summon you cast without paying its cost.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/yuna,Doublecast [S]
624,"When Zangetsu enters the field, choose up to the same number of Characters your opponent controls as the Job Ninja or Card Name Ninja you control. Dull them. 
[P]: Zangetsu gains Haste until the end of the turn. ",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xi/zangetsu,[P]
634,"When Alus enters the field or at the beginning of Main Phase 1 during each of your turns, reveal the top card of your deck. If it is a Job Dragoon or a Card Name Dragoon, add it to your hand. If it is not a Job Dragoon or a Card Name Dragoon, put it into the Break Zone.
[Dull], put Alus into the Break Zone: Choose 1 Forward. Dull it.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/alus,"[Dull], put Alus into the Break Zone"
656,"[I][I][Dull], put Black Mage into the Break Zone: Choose 1 Ice Summon in your Break Zone. Add it to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/black-mage,"[I][I][Dull], put Black Mage into the Break Zone"
664,"[Dull], put Cecil into the Break Zone: During this turn, if a Forward you control is dealt damage, reduce the damage by 2000 instead.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/cecil,"[Dull], put Cecil into the Break Zone"
670,"When a Forward of your opponent enters the field, deal it 2000 damage. If the Forward entered play without paying for its CP cost, deal it 9000 damage instead.
Spineshatter Dive 0 [S][G][G][G][Dull]: Choose 1 Forward. Deal it 10000 damage and 1 point of damage to that Forward's controller.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/cid-ffbe,Spineshatter Dive 0 [S][G][G][G][Dull]
678,[(1)][Dull]: Choose 1 Fire Forward you control. It gains +1000 power until the end of the turn.,https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/class-first-moogle,[(1)][Dull]
688,"When Cloud enters the field, you may pay [R][R]. When you do so, choose 1 Dark Forward. Break it.
Cross-slash [S][R][R][(1)][Dull]: Choose up to 2 Forwards. Divide 10000 damage among them equally.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/cloud,Cross-slash [S][R][R][(1)][Dull]
704,"Put Dendrobium into the Break Zone: Choose 1 Forward. Freeze it. Draw 1 card.
Damage 5 — Put Dendrobium into the Break Zone: Choose up to 3 Forwards. Freeze them. Draw 1 card. (If you have received 5 points of damage or more, this Character has this ability.)",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/dendrobium,Put Dendrobium into the Break Zone
706,"Damage 1 — Desch gains First Strike.
Damage 3 — When Desch attacks, deal 2000 damage to all the Forwards opponent controls.
Damage 5 — Put Desch into the Break Zone: Choose 1 Forward. Break it.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/desch,Damage 5 — Put Desch into the Break Zone
720,"The cost required to play Card Name Black Tortoise l'Cie Gilgamesh onto the field is reduced by 3.
Put Enkidu Uruk into the Break Zone: Choose 1 Earth Forward you control. Dull it. It cannot be broken this turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/enkidu-uruk,Put Enkidu Uruk into the Break Zone
722,"Put Exoray into the Break Zone: Draw 2 cards.
Damage 5 — Put Exoray into the Break Zone: Draw 3 cards. (If you have received 5 points of damage or more, this Character has this ability.)",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/exoray,Put Exoray into the Break Zone
732,"Discard 1 Water Summon: Folka cannot be chosen by your opponent's Summons or abilities this turn.
Discard 1 Water Summon: Choose 1 Forward and 1 Backup. Activate them.
Discard 1 Water Summon: Choose 1 Forward of cost 4 or less opponent controls. Return it to its owner's hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-x/folka,Discard 1 Water Summon
