Card Material,Card Type,Category,Cost,Description,Element,Job,Median,Name,Number,Power,Rarity,TCG,URL,set
Normal,Forward,IX,2,"When Beatrix or a Job Knight enters your field, all the Forwards you control gain +2000 power until the end of the turn.
[0]: During this turn, the cost required to cast your next Job Knight Forward is reduced by 2 (it cannot become 0). You can only use this ability during your turn and only once per turn.",Water,Knight,0.50,Beatrix,12-103H,5000,Hero,0.49,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/beatrix,Opus XII
Foil,Forward,IX,2,"When Beatrix or a Job Knight enters your field, all the Forwards you control gain +2000 power until the end of the turn.
[0]: During this turn, the cost required to cast your next Job Knight Forward is reduced by 2 (it cannot become 0). You can only use this ability during your turn and only once per turn.",Water,Knight,1.99,Beatrix,12-103H,5000,Hero,1.52,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/beatrix,Opus XII
Normal,Forward,IX,2,"When Beatrix or a Job Knight enters your field, all the Forwards you control gain +2000 power until the end of the turn.
[0]: During this turn, the cost required to cast your next Job Knight Forward is reduced by 2 (it cannot become 0). You can only use this ability during your turn and only once per turn.",Water,Knight,N/A,Beatrix (Full Art),12-103H,5000,Hero,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/beatrix-full-art,Opus XII
Foil,Forward,IX,2,"When Beatrix or a Job Knight enters your field, all the Forwards you control gain +2000 power until the end of the turn.
[0]: During this turn, the cost required to cast your next Job Knight Forward is reduced by 2 (it cannot become 0). You can only use this ability during your turn and only once per turn.",Water,Knight,36.82,Beatrix (Full Art),12-103H,5000,Hero,30.41,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/beatrix-full-art,Opus XII
Normal,Monster,Crystal Hunt,5,"When Behemoth enters the field, select 1 of the 2 following actions.
""Behemoth also becomes a Forward with 9000 power."" (This effect does not end at the end of the turn.)
""Put Behemoth into the Break Zone. When you do so, choose 1 Forward. Break it.""",Lightning,Behemoth,0.10,Behemoth,12-086C,9000,Common,0.09,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/behemoth,Opus XII
Foil,Monster,Crystal Hunt,5,"When Behemoth enters the field, select 1 of the 2 following actions.
""Behemoth also becomes a Forward with 9000 power."" (This effect does not end at the end of the turn.)
""Put Behemoth into the Break Zone. When you do so, choose 1 Forward. Break it.""",Lightning,Behemoth,0.75,Behemoth,12-086C,9000,Common,0.98,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/behemoth,Opus XII
Normal,Backup,FFCC,3,"When Belle enters the field, your opponent reveals their hand. Select 1 card of cost 4 or more in their hand. Your opponent discards this card.",Ice,Informant,0.10,Belle,12-035C,,Common,0.12,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/belle,Opus XII
Foil,Backup,FFCC,3,"When Belle enters the field, your opponent reveals their hand. Select 1 card of cost 4 or more in their hand. Your opponent discards this card.",Ice,Informant,0.75,Belle,12-035C,,Common,0.79,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/belle,Opus XII
Normal,Backup,XIV,2,"[R][Rest], put Black Mage into the Break Zone: Choose 1 Forward. Deal it 5000 damage.",Fire,Standard Unit,0.10,Black Mage,12-007C,,Common,0.09,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/black-mage,Opus XII
Foil,Backup,XIV,2,"[R][Rest], put Black Mage into the Break Zone: Choose 1 Forward. Deal it 5000 damage.",Fire,Standard Unit,0.49,Black Mage,12-007C,,Common,0.50,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/black-mage,Opus XII
Normal,Backup,FFCC,4,"EX BURST When Blaze enters the field, choose up to 2 Forwards. Deal them 5000 damage.
[Dull], put Blaze into the Break Zone: Choose 1 Forward. Deal it 7000 damage.",Fire,Crystal Bearer,0.10,Blaze EX,12-016C,,Common,0.13,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/blaze-ex,Opus XII
Foil,Backup,FFCC,4,"EX BURST When Blaze enters the field, choose up to 2 Forwards. Deal them 5000 damage.
[Dull], put Blaze into the Break Zone: Choose 1 Forward. Deal it 7000 damage.",Fire,Crystal Bearer,0.56,Blaze EX,12-016C,,Common,0.56,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/blaze-ex,Opus XII
Normal,Backup,FFEX,4,"When Blue Mage enters the field, choose 1 Forward opponent controls. Return it to its owner's hand.",Water,Standard Unit,0.10,Blue Mage,12-091C,,Common,0.12,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/blue-mage,Opus XII
Foil,Backup,FFEX,4,"When Blue Mage enters the field, choose 1 Forward opponent controls. Return it to its owner's hand.",Water,Standard Unit,0.50,Blue Mage,12-091C,,Common,0.50,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/blue-mage,Opus XII
Normal,Forward,V,1,"The Card Name Bartz you control gains +1000 power and Haste.
When a party you control deals damage to your opponent, draw 1 card.",Wind,Chocobo,0.12,Boko,12-053C,3000,Common,0.14,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/boko,Opus XII
Foil,Forward,V,1,"The Card Name Bartz you control gains +1000 power and Haste.
When a party you control deals damage to your opponent, draw 1 card.",Wind,Chocobo,0.85,Boko,12-053C,3000,Common,0.85,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/boko,Opus XII
Normal,Forward,II,1,"When Borghen is put from the field into the Break Zone, your opponent selects 1 Forward in their Break Zone. Your opponent adds it to their hand.",Earth,Captain,0.50,Borghen,12-069H,9000,Hero,0.35,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/borghen,Opus XII
Foil,Forward,II,1,"When Borghen is put from the field into the Break Zone, your opponent selects 1 Forward in their Break Zone. Your opponent adds it to their hand.",Earth,Captain,0.45,Borghen,12-069H,9000,Hero,0.75,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/borghen,Opus XII
Normal,Forward,Crystal Hunt,1,"When Cactuar enters the field, select 1 of the 2 following actions.
""Cactuar also becomes a Forward with 4000 power."" (This effect does not end at the end of the turn.)
""Put Cactuar into the Break Zone. When you do so, choose 1 Forward. Your opponent reveals the top card of their deck. If the revealed card's cost is 3 or less, deal it 1000 damage. If the revealed card's cost is 4 or more, deal it 10000 damage.""
",Wind,Cactuar,0.10,Cactuar,12-042C,4000,Common,0.09,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/cactuar,Opus XII
Foil,Forward,Crystal Hunt,1,"When Cactuar enters the field, select 1 of the 2 following actions.
""Cactuar also becomes a Forward with 4000 power."" (This effect does not end at the end of the turn.)
""Put Cactuar into the Break Zone. When you do so, choose 1 Forward. Your opponent reveals the top card of their deck. If the revealed card's cost is 3 or less, deal it 1000 damage. If the revealed card's cost is 4 or more, deal it 10000 damage.""
",Wind,Cactuar,0.75,Cactuar,12-042C,4000,Common,0.72,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/cactuar,Opus XII
Normal,Monster,II Theatrhythm,3,"When Captain enters the field, select 1 of the 2 following actions.
""Captain also becomes a Forward with 7000 power."" (This effect does not end at the end of the turn.)
""Put Captain into the Break Zone. When you do so, choose 1 Forward. Return it to its owner's hand. Draw 1 card then discard 1 card from your hand.""",Water,Warrior,0.12,Captain,12-094C,7000,Common,0.14,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/captain,Opus XII
Foil,Monster,II Theatrhythm,3,"When Captain enters the field, select 1 of the 2 following actions.
""Captain also becomes a Forward with 7000 power."" (This effect does not end at the end of the turn.)
""Put Captain into the Break Zone. When you do so, choose 1 Forward. Return it to its owner's hand. Draw 1 card then discard 1 card from your hand.""",Water,Warrior,0.43,Captain,12-094C,7000,Common,0.54,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/captain,Opus XII
Normal,Summon,IX,2,"Select 1 of the 3 following actions. If your opponent has 2 cards or less in their hand, select up to 2 of the 3 following actions instead.
""Choose 1 Forward. Dull it.""
""Choose 1 Ice Forward. It gains +2000 power until the end of the turn.""
""Choose up to 2 Characters opponent controls. Freeze them.""",Ice,Chocobo,0.60,Carbuncle,12-025H,3000,Hero,0.81,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/carbuncle,Opus XII
Foil,Summon,IX,2,"Select 1 of the 3 following actions. If your opponent has 2 cards or less in their hand, select up to 2 of the 3 following actions instead.
""Choose 1 Forward. Dull it.""
""Choose 1 Ice Forward. It gains +2000 power until the end of the turn.""
""Choose up to 2 Characters opponent controls. Freeze them.""",Ice,Chocobo,1.87,Carbuncle,12-025H,3000,Hero,2.13,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/carbuncle,Opus XII
Normal,Backup,Crystal Hunt,2,"When Chocobo enters the field, the Forwards you control can form a party with Forwards of any Element this turn.
[Dull]: The Forwards you control can form a party with Forwards of any Element this turn.",Wind,Standard Unit,0.10,Chocobo,12-047C,,Common,0.10,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/chocobo,Opus XII
Foil,Backup,Crystal Hunt,2,"When Chocobo enters the field, the Forwards you control can form a party with Forwards of any Element this turn.
[Dull]: The Forwards you control can form a party with Forwards of any Element this turn.",Wind,Standard Unit,0.63,Chocobo,12-047C,,Common,0.73,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/chocobo,Opus XII
Normal,Backup,World of Final Fantasy,2,"[Dull]: Place 1 Item Counter on Chocolatte.
[Dull], remove 2 Item Counters from Chocolatte: Draw 1 card. You can only use this ability during your turn and only once per turn.",Wind,Chocobo,0.28,Chocolatte,12-048R,,Rare,0.32,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/chocolatte,Opus XII
Foil,Backup,World of Final Fantasy,2,"[Dull]: Place 1 Item Counter on Chocolatte.
[Dull], remove 2 Item Counters from Chocolatte: Draw 1 card. You can only use this ability during your turn and only once per turn.",Wind,Chocobo,1.36,Chocolatte,12-048R,,Rare,1.36,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/chocolatte,Opus XII
Normal,Backup,FFCC,2,"[Dull]: Choose 1 Character opponent controls. Select 1 Counter placed on it, and remove the selected Counter.
",Lightning,Engineer,0.10,Cid (FFCC),12-079C,,Common,0.09,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/cid-ffcc,Opus XII
Foil,Backup,FFCC,2,"[Dull]: Choose 1 Character opponent controls. Select 1 Counter placed on it, and remove the selected Counter.
",Lightning,Engineer,0.50,Cid (FFCC),12-079C,,Common,0.83,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/cid-ffcc,Opus XII
Normal,Forward,V,1,"When Cid Previa enters the field, choose 1 Forward other than Cid Previa. It gains Haste until the end of the turn.",Lightning,Engineer,0.50,Cid Previa,12-080H,2000,Hero,0.51,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/cid-previa,Opus XII
Foil,Forward,V,1,"When Cid Previa enters the field, choose 1 Forward other than Cid Previa. It gains Haste until the end of the turn.",Lightning,Engineer,1.62,Cid Previa,12-080H,2000,Hero,1.86,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/cid-previa,Opus XII
Normal,Forward,XIV,4,"At the beginning of Main Phase 2 during each of your turns, you may play 1 Forward of cost equal to or less than the number of Ice Backups you control from your hand onto the field.",Ice,Overseer,0.25,Crystal Exarch,12-032R,7000,Rare,0.27,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/crystal-exarch,Opus XII
Foil,Forward,XIV,4,"At the beginning of Main Phase 2 during each of your turns, you may play 1 Forward of cost equal to or less than the number of Ice Backups you control from your hand onto the field.",Ice,Overseer,1.32,Crystal Exarch,12-032R,7000,Rare,1.35,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/crystal-exarch,Opus XII
Normal,Forward,XIV,3,"[Dull]: Deal 1000 damage to all the Forwards opponent controls. If you control 7 or more Wind Characters, deal 4000 damage to all the Forwards opponent controls instead.",Wind,Standard Unit,0.10,Dancer,12-041C,7000,Common,0.10,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/dancer,Opus XII
Foil,Forward,XIV,3,"[Dull]: Deal 1000 damage to all the Forwards opponent controls. If you control 7 or more Wind Characters, deal 4000 damage to all the Forwards opponent controls instead.",Wind,Standard Unit,0.50,Dancer,12-041C,7000,Common,0.62,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/dancer,Opus XII
Normal,Forward,XIV,4,"Damage 5 — When Dark Knight enters the field, choose 1 Forward opponent controls. If its power is less than Dark Knight's power, break it.",Earth,Standard Unit,0.10,Dark Knight,12-055C,8000,Common,0.09,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/dark-knight,Opus XII
Foil,Forward,XIV,4,"Damage 5 — When Dark Knight enters the field, choose 1 Forward opponent controls. If its power is less than Dark Knight's power, break it.",Earth,Standard Unit,0.50,Dark Knight,12-055C,8000,Common,0.48,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/dark-knight,Opus XII
Normal,Summon,FFEX,2,"Choose 1 Forward. If its power has been increased or decreased, break it.",Wind,,0.55,Diabolos,12-049H,,Hero,0.55,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/diabolos,Opus XII
Foil,Summon,FFEX,2,"Choose 1 Forward. If its power has been increased or decreased, break it.",Wind,,2.34,Diabolos,12-049H,,Hero,2.69,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/diabolos,Opus XII
Normal,Backup,FFL,3,"EX BURST When Diana enters the field, you may search for 1 Forward of cost 1 and add it to your hand.",Lightning,Warrior of Darkness,0.25,Diana EX,12-082R,,Rare,0.24,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/diana-ex,Opus XII
Foil,Backup,FFL,3,"EX BURST When Diana enters the field, you may search for 1 Forward of cost 1 and add it to your hand.",Lightning,Warrior of Darkness,0.99,Diana EX,12-082R,,Rare,0.77,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/diana-ex,Opus XII
Normal,Forward,Special,3,"When Dragoon enters the field, you may reveal any number of Job Dragoon or Card Name Dragoon from your hand. When you reveal 1 or more, Dragoon gains Haste until the end of the turn. In addition, when you reveal 4 or more, choose 1 Forward. Break it. ",Lightning,Standard Unit,0.12,Dragoon,12-089C,7000,Common,0.13,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/dragoon,Opus XII
Foil,Forward,Special,3,"When Dragoon enters the field, you may reveal any number of Job Dragoon or Card Name Dragoon from your hand. When you reveal 1 or more, Dragoon gains Haste until the end of the turn. In addition, when you reveal 4 or more, choose 1 Forward. Break it. ",Lightning,Standard Unit,0.75,Dragoon,12-089C,7000,Common,0.78,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/dragoon,Opus XII
Normal,Forward,Special,3,"When Dragoon enters the field, you may reveal any number of Job Dragoon or Card Name Dragoon from your hand. When you reveal 1 or more, Dragoon gains Haste until the end of the turn. In addition, when you reveal 4 or more, choose 1 Forward. Break it. ",Lightning,Standard Unit,N/A,Dragoon (Full Art),12-089C,7000,Common,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/dragoon-full-art,Opus XII
Foil,Forward,Special,3,"When Dragoon enters the field, you may reveal any number of Job Dragoon or Card Name Dragoon from your hand. When you reveal 1 or more, Dragoon gains Haste until the end of the turn. In addition, when you reveal 4 or more, choose 1 Forward. Break it. ",Lightning,Standard Unit,20.00,Dragoon (Full Art),12-089C,7000,Common,15.67,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/dragoon-full-art,Opus XII
Normal,Backup,XIV,2,"[Dull], put Dragoon into the Break Zone: Choose 1 Job Dragoon or Card Name Dragoon in your Break Zone. Add it to your hand.",Lightning,Standard Unit,0.11,Dragoon (XIV),12-090C,,Common,0.12,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/dragoon-xiv,Opus XII
